FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI	LINK
PV/kakwayaki	Preverb: kakwâyaki-		greatly, extremely			
PV/kakwe	Preverb: kakwî-		try to, attempt to			
PV/kakweci	Preverb: kakwîci-		inquire			
PV/kamwaci	Preverb: kâmwâci-		quietly			
PV/kanaci	Preverb: kanâci-		clean			
PV/kape	Preverb: kapî-		for the full duration of; always			
PV/kaski	Preverb: kaski-		dense			
PV/kaskitewi	Preverb: kaskitîwi-		black			
PV/kaspi	Preverb: kâspi-		crunching			
PV/kawi	Preverb: kâwi-		again; back, in return			
PV/kayasi	Preverb: kayâsi-		old			
PV/ke	Preverb: kî-		grammatical preverb; future, conditional: shall; defines a changed conjunct clause			
PV/kekaci	Preverb: kîkâci-		almost			
PV/ket	Preverb: kît-		take off, remove			
PV/ketiski	Preverb: kîtiski-		to exact measure			
PV/ki	Preverb: kî-		grammatical preverb; past, completion			
PV/kici	Preverb: kici-		so that			
PV/kihci	Preverb: kihci-		great, big, important			
PV/kika	Preverb: kika-		grammatical preverb; future; defines a conjunct clause			
PV/kimoci	Preverb: kîmôci-		secretly, by stealth			
PV/kipi	Preverb: kîpi-		quickly			
PV/kisci	Preverb: kisci-		big			
PV/kise	Preverb: kisî-		great, gentle			
PV/kisi	Preverb: kîsi-		finish; completely, to completion; completing, having done			
PV/kisipi	Preverb: kisipi-		end, finish, ending			
PV/kisiska	Preverb: kisiskâ-		fast, quickly			
PV/kisiwi	Preverb: kisîwi-		angrily, in anger			
PV/kiski	Preverb: kîski-		severing, breaking, cutting off			
PV/kisopwe	Preverb: kîsopwî-		with hot weather			
PV/kita	Preverb: kita-		[grammatical preverb]; future: will, shall; infinitive; optative: ought, should			
PV/kita-ki	Preverb: kita-kî-		can, be able to; may; ought to			
PV/kitimaki	Preverb: kitimâki-		pitiable, pitiably			
PV/kiwaci	Preverb: kîwâci-		orphaned, stray; lonely, desolately			
PV/kiwe	Preverb: kîwî-		back, homeward			
PV/kiye	Preverb: kiyî-		grammatical preverb; future; in changed conjunct clauses			
PV/kiyi	Preverb: kiyi-		grammatical preverb; future; defines a conjunct clause			
PV/koci	Preverb: koci-		try to			
PV/kota	Preverb: kôta-		long for, be deprived of			
PV/kotate	Preverb: kôtatî-		at a loss, making no attempt			
PV/kwahci	Preverb: kwâhci-		far off			
PV/kwaskwe	Preverb: kwâskwî-		upwards			
PV/kwataki	Preverb: kwâtaki-		distressing, tormenting, tortuous			
PV/kwayaci	Preverb: kwayâci-		in readiness, already; in preparation; beforehand			
PV/kwayako	Preverb: kwayako-		taking out, directly			
PV/kwayaski	Preverb: kwayaski-		properly			
PV/kwayasko	Preverb: kwayasko-		straight; properly, correctly			
PV/kweski	Preverb: kwîski-		turning			
PV/kwetawi	Preverb: kwîtawi-		doubtful			
PV/kwitawi	Preverb: kwîtawi-		impatiently			
PV/maaci	Preverb: mâci-		begin to, start to; commencement; initially			
PV/maci	Preverb: maci-		bad, evil, wicked, wrong, ill			
PV/maci-manitowi	Preverb: maci-manitowi		evil, devilish; of the Devil			
PV/mahi	Preverb: mâhi-		downstream			
PV/mahti	Preverb: mahti-		let us; hortatory			
PV/mamawi	Preverb: mâmawi-		together; in full number of them all, altogether, all together as a group			
PV/mana	Preverb: manâ-		beware of, careful not to, avoid doing			
PV/mani	Preverb: mani-		with the intent of, with the purpose of			
PV/maninakisko	Preverb: mâninâkisko-		without hesitation, entirely			
PV/maski	Preverb: mâski-		crippled; defective, deformed			
PV/masta	Preverb: mastâ-		later			
PV/matwe	Preverb: matwî-		audibly, visibly; perceptibly; loudly; heard or seen from a distance			
PV/mayaci	Preverb: mâyâci-		bad			
PV/mayi	Preverb: mâyi-		bad, evil; badly, evilly, wickedly			
PV/mecimwaci	Preverb: mîcimwâci-		permanently, for good			
PV/mesci	Preverb: mîsci-		exhaustively, till all is gone			
PV/mesti	Preverb: mîsti-		it is used up, it is burnt out, it is spent			
PV/mihko	Preverb: mihko-		red			
PV/mihyawe	Preverb: mihyawî-		with fur or body hair			
PV/misakame	Preverb: misakâmî-		all the way			
PV/misi	Preverb: misi-		big, greatly; much, a lot; very, extremely, to the extreme			
PV/mistiko	Preverb: mistiko-		wood, of wood, wooden			
PV/miyo	Preverb: miyo-		good, well, beautifully			
PV/mohco	Preverb: môhco-		silly, crazy			
PV/mosci	Preverb: mosci-		just, merely, plainly, simply, directly, without mediation, without instrumentality; by hand			
PV/mwayi	Preverb: mwayî-		before, prior to			
PV/mîkwa	Preverb: mîkwâ-		currently, presently, right now; while, during, in the meantime, in the act or place			
PV/naci	Preverb: nâci-		getting			
PV/nahi	Preverb: nahi-		well, fair			
PV/nahta	Preverb: nahtâ-		able; good at, competent, practised, experienced, skillful at, expert at, known as one who does s.t. habitually; well			
PV/naki	Preverb: naki-		stopping			
PV/nanitaw	Preverb: nânitaw-		[in negative clauses:] any			
PV/napaki	Preverb: napaki-		flat			
PV/naspaci	Preverb: naspâci-		opposite, contrarily			
PV/natakasi	Preverb: nâtakâsi-		into the bush country			
PV/natawi	Preverb: natawi-		go to			
PV/nawaci	Preverb: nawaci-		better			
PV/nawayawi	Preverb: nâwayawi-		one behind the other, in a row			
PV/nehithawi	Preverb: nîhithawi-		Cree, in Cree			
PV/nihci	Preverb: nîhci-		down, downwards; bottom			
PV/nihta	Preverb: nihtâ-		able; good at, competent, practised, experienced, skillful at, expert at, known as one who does s.t. habitually; well			
PV/nihtaciwe	Preverb: nîhtaciwî-		downhill, down			
PV/nikani	Preverb: nîkâni-		in front, ahead, at the head, in the future			
PV/nimi	Preverb: nîmi-		take along			
PV/nipa	Preverb: nîpâ-		at night, in the dark			
PV/nipahi	Preverb: nipahi-		really, very, extremely			
PV/nisihkaci	Preverb: nisîhkâci-		gently, carefully, slowly			
PV/niso	Preverb: nîso-		two			
PV/nitawi	Preverb: nitawi-		go and, go to; engaged in			
PV/nohte	Preverb: nôhtî-		want to, desire to; lack			
PV/o	Preverb: ô-		from there, for that reason; with, by means of; [grammatical preverb]			
PV/ocihci	Preverb: ocihci-		back in time; far back; from before, earlier; having lived long enough for something; chance to, live to, live to see			
PV/oh	Preverb: ôh-		from there, for that reason; with, by means of; [past preverb in negative clauses]			
PV/ohci	Preverb: ohci-		from there; with, by means of; because, for that reason, therefore, thence; [grammatical preverb; past preverb in negative clauses]			
PV/ohtiskawi	Preverb: ohtiskawi-		facing			
PV/osami	Preverb: osâmi-		too much, because of excess, for			
PV/osawaski	Preverb: osâwaski-		green, blue-green			
PV/osawi	Preverb: osâwi-		yellow, brown			
PV/oski	Preverb: oski-		new, young, first			
PV/otami	Preverb: otami-		busy, occupied, delayed			
PV/paci	Preverb: paci-		wrongly, in error			
PV/pahkaci	Preverb: pâhkaci-		fixed, not moving; locked in to a previously stated obligation			
PV/pahki	Preverb: pahki-		portion of			
PV/pahko	Preverb: pâhko-		dry			
PV/pakwano	Preverb: pakwâno-		from memory			
PV/papa	Preverb: papâ-		go around, about, all over			
PV/papami	Preverb: papâmi-		around, about, all over, here and there, hither and thither			
PV/papasi	Preverb: papâsi-		fast, in a hurry, quick			
PV/pasci	Preverb: pâsci-		over, beyond			
PV/pasici	Preverb: pâsici-		stepping over, skipping			
PV/pasiko	Preverb: pasikô-		get up (from sitting)			
PV/paspi	Preverb: paspi-		through narrow opening			
PV/pe	Preverb: pî-		come and; towards, approaching; hither; thence, from there on down; [towards focus]			
PV/peyako	Preverb: pîyako-		alone, only; as one			
PV/pihci	Preverb: pîhci-		inside, in, within			
PV/pihtawe	Preverb: pîhtawî-		under; double			
PV/pihtoke	Preverb: pîhtokî-		entering to the inside, entering house			
PV/pikiskaci	Preverb: pîkiskâci-		sorry, sad, lonely			
PV/pimi	Preverb: pîmi-		twisted			
PV/pimici	Preverb: pimici-		crosswise, from side, at right angle			
PV/pimipahci	Preverb: pimipahci-		running, on the run			
PV/pisci	Preverb: pisci-		accidentally, mistakenly, erroneously			
PV/pitosi	Preverb: pîtosi-		different, foreign			
PV/piwi	Preverb: pîwi-		small			
PV/poni	Preverb: pôni-		stop, terminate, cease; after			
PV/posko	Preverb: pôsko-		the same			
PV/pwana	Preverb: pwâna-		unable, fail to			
PV/pwatawi	Preverb: pwâtawi-		unable to do, failing			
PV/sakewe	Preverb: sâkîwî-		behind obstacle to vision, into view			
PV/sapo	Preverb: sâpo-		fully, exhaustively, through, through and through, right through, from end to end; beyond			
PV/saposci	Preverb: sâposci-		through			
PV/sasakici	Preverb: sâsakici-		backwards; supine			
PV/saskaci	Preverb: saskaci-		weary, tired of			
PV/sehke	Preverb: sîhkî-		by itself, of own accord; move ahead of own accord; willingly			
PV/sesawi	Preverb: sîsâwi-		stretching, exercising			
PV/sikaci	Preverb: sikaci-		impatiently, bored with			
PV/sikawi	Preverb: sîkawi-		pouring, flooding			
PV/simaci	Preverb: simaci-		upright; straightened			
PV/sipwe	Preverb: sipwî-		leaving, departing, going away; starting out, commencement			
PV/sisikoci	Preverb: sisikoci-		suddenly			
PV/sisiwe	Preverb: sisiwî-		spread, scatter			
PV/sohkahat	Preverb: sôhkahât-		greatly, powerfully			
PV/sohki	Preverb: sôhki-		hard, strongly, intensively, vigourously, properly			
PV/soniyawi	Preverb: sôniyâwi-		with respect to money, in financial matters			
PV/ta	Preverb: ta-		grammatical preverb: future; infinitive			
PV/ta-ki	Preverb: ta-kî-		can, be able to; should, ought to			
PV/tah	Preverb: tâh-		would, ought to; likely to			
PV/tahci	Preverb: tâhci-		on the top			
PV/tahki	Preverb: tahki-		repeated action, always, constantly ;; receiving a chill, cold			
PV/tahkohci	Preverb: tahkohci-		on top			
PV/tahto	Preverb: tahto-		as many as			
PV/takahki	Preverb: takahki-		good, nice			
PV/tako	Preverb: tako-		in addition to, on top, over and above; with, having along, also			
PV/tapi	Preverb: tâpi-		through the same place			
PV/tapisi	Preverb: tâpisi-		threading, inserting			
PV/tasi	Preverb: tasi-		for such a time, for the duration; an action at a time, while			
PV/tehci	Preverb: tîhci-		on, on top of something			
PV/tepi	Preverb: tîpi-		sufficiently; enough; reaching			
PV/tewi	Preverb: tîwi-		pain			
PV/teyi	Preverb: tîyi-		pain			
PV/tipi	Preverb: tipi-		equal			
PV/tita	Preverb: tita-		[grammatical preverb; future]			
PV/tomi	Preverb: tômi-		oily, greasy			
PV/wa	Preverb: wâ-		intend to, be about to			
PV/wah	Preverb: wâh-		whenever in future			
PV/wahke	Preverb: wahkî-		addicted to, easily led to			
PV/waki	Preverb: wâki-		curving			
PV/wani	Preverb: wani-		dim, dark, indistinctly, blurred; lose; destroy			
PV/wapani	Preverb: wâpani-		dawn; at, until dawn			
PV/wapohki	Preverb: wâpôhki-		white			
PV/wasa	Preverb: wâsâ-		around			
PV/wase	Preverb: wâsî-		clear; bright			
PV/wawiye	Preverb: wâwiyî-		round, spherical			
PV/wayawi	Preverb: wayawî-		outside; out from inside, out from the tipi			
PV/wayesi	Preverb: wayîsi-		deceitfully			
PV/wehci	Preverb: wîhci-		easily			
PV/wi	Preverb: wî-		grammatical preverb: intend to, be about to			
PV/wihpi	Preverb: wîhpi-		hollowing out			
PV/wini	Preverb: wîni-		soil, dirty			
PV/wipi	Preverb: wîpi-		dirty, unclean			
PV/wipo	Preverb: wîpo-		narrow			
PV/wisaki	Preverb: wîsaki-		painfully			
PV/wito	Preverb: wîto-		want, intend			
PV/wiyipi	Preverb: wiyîpi-		dirty looking; dull brown, drab			
PV/yahki	Preverb: yahki-		act of pushing forward; increasing, increasingly, adding, more and more			
PV/yikate	Preverb: yîkatî-		aside			
PV/yipe	Preverb: yîpî-		on a slant, on a slope, on the side, sideways			
PV/yoski	Preverb: yôski-		soft, softly			
Pl	Plural	Plural	two or more	nîso ahpô ayiwâk		
PlO	→ Pl	Goal: Plural	→ two or more	→ nîso ahpô ayiwâk		
						
PrA		Pronoun: Animate	like: awa	tâpiskôc: awa	➡️🧑🏽	
PrI		Pronoun: Inanimate	like: ôma	tâpiskôc: ôma	➡️💧	
						
Pron		Pronoun	Pointing word	itâskonamin-itwîwin	➡️	https://plainscree.atlas-ling.ca/grammar/words/pronouns/
Prop		Proper	how something/someone is called	isiyihkâsowin		
Prox	Proximal	Proximate	Here	ôtâ		
Prs	Present	Present tense	something is happening now	î-ispayik anohc/mîkwâc/mâna		
Prt	Past	Past tense: kî-	something happened earlier	î-ispayik kwayâc		
Px	Possession	Possessed forms	whose / whom something belongs to	tipîyihcikîwin / awîni (kâ-tipîyihtahk)		
Px12Pl	Possessor: 21p (incl)	Possessor: 1st Person Plural (Inclusive)	your and our	kithânaw		
Px1Pl	Possessor: 1p (excl)	Possessor: 1st Person Plural (Exclusive)	our (but not your)	nithanân		
Px1Sg	Possessor: 1s	Possessor: 1st Person Singular	my	nitha		
Px21Pl	Possessor: 21p (incl)	Possessor: 1st Person Plural (Inclusive)	your and our	kithânaw		
Px2Pl	Possessor: 2p (excl)	Possessor: 2nd Person Plural	your (all)	kithawâw		
Px2Sg	Possessor: 2s	Possessor: 2nd Person Singular	your (one)	kitha		
Px3Pl	Possessor: 3p	Possessor: 3rd Person Plural	their	withawâw		
Px3Sg	Possessor: 3s	Possessor: 3rd Person Singular	his/her	witha		
Px4Pl	Possessor: 4p	Possessor: 3rd Person Plural (Obviative)	another's	kotaka/anihi/awitha		
Px4Sg	Possessor: 4s	Possessor: 3rd Person Singular (Obviative)	others'	kotaka/anihi/awitha		
Px4Sg/Pl	Possessor: 4	Possessor: 3rd Person Singular/Plural (Obviative)	another's/others'	kotaka/anihi/awitha		
PxX	Possessor: X	Possessor: Unspecified	someone's	(awitha)		
						
RdplS		Reduplication: Strong/Heavy	Intense	tâpiskôc: nâh-nipâw		
RdplW		Reduplication: Weak/Light	Repeated	tâpiskôc: na-nipâw		
Rel		Relative				
Rom		Roman	like: I, V, X	tâpiskôc: I, V, X		
						
Sg	Singular	Singular	only one	pîyak piko		
						
						
						
						
TA	Transitive Animate		like: wîcihîw, itîw	tâpiskôc: wîcihîw, itîw		
TI	Transitive Inaminate		like: nâtam, mîciw	tâpiskôc: nâtam, mîciw		
						
V	Verb		Action word	ispayin-itwîwin		https://plainscree.atlas-ling.ca/grammar/words/verbs/
V+II	Inanimate intransitive verb	Verb — inanimate intransitive	Action word — like: mithwâsin, miskwâw	ispayin-itwîwin — tâpiskôc: mithwâsin, miskwâw	💧➡️	
V+AI	Animate intransitive verb	Verb — animate intransitive	Action word — like: mîcisow, nipâw	ispayin-itwîwin — tâpiskôc: mîcisow, nipâw	🧑🏽➡️	
V+TI	Transitive inanimate verb	Verb — transitive inanimate	Action word — like: nâtam, mîciw	ispayin-itwîwin — tâpiskôc: nâtam, mîciw	🧑🏽➡️💧	
V+TA	Transitive animate verb	Verb — transitive animate	Action word — like: wîcihîw, itîw	ispayin-itwîwin — tâpiskôc: wîcihîw, itîw	🧑🏽➡️🧑🏽	
						
Voc	Vocative	Vocative	call/address	kitowin		
						
VAI-1	VAI-1	vowel-final animate intransitive verb	like: nipâw	tâpiskôc: nipâw		
VAI-v	VAI-v	vowel-final animate intransitive verb	like: nipâw	tâpiskôc: nipâw		
VAI-2	VAI-2	n-final animate intransitive verb	like: pimisin	tâpiskôc: pimisin		
VAI-3	VAI-3	VTI-like animate intransitive verb	like: yâhyânam	tâpiskôc: yâhyânam		
VII-1n	VII-1n	n-final impersonal inanimate intransitive verb	like: kimiwan	tâpiskôc: kimiwan		
VII-2n	VII-2n	n-final pluralizable inanimate intransitive verb	like: miywâsin	tâpiskôc: miywâsin		
VII-1v	VII-1v	vowel-final impersonal inanimate intransitive verb	like: kîsikâw	tâpiskôc: kîsikâw		
VII-2v	VII-2v	vowel-final pluralizable  inanimate intransitive verb	like: mihkwâw	tâpiskôc: mihkwâw		
VTA-1	VTA-1	transitive animate verb – class 1: regular	like: wîcihîw	tâpiskôc: wîcihîw		
VTA-2	VTA-2	transitive animate verb – class 2	like: nitonawîw	tâpiskôc: nitonawîw		
VTA-3	VTA-3	transitive animate verb – class 3	like: kîskiswîw	tâpiskôc: kîskiswîw		
VTA-4	VTA-4	transitive animate verb – class 4	like: nakatîw	tâpiskôc: nakatîw		
VTA-5	VTA-5	transitive animate verb – class 5	like: itîw	tâpiskôc: itîw		
VTI-1	VTI-1	transitive inanimate verb – class 1: regular	like: nâtam	tâpiskôc: nâtam		
VTI-2	VTI-2	transitive inanimate verb – class 2: stem-final -â	like: kisihtâw	tâpiskôc: kisihtâw		
VTI-3	VTI-3	transitive inanimate verb – class 3	like: mîciw	tâpiskôc: mîciw		
						
X	X	Actor: Unspecified	people	(awitha)		
XO	→ X	Goal: Unspecified	→ people	→ (awitha)		
						
A+Sg+Title	A+Sg	Singular, Animate	One (awa word)	pîyak (awa)		
A+Pl+Title	A+Pl	Plural, Animate	Many (awa word)	mihcît (awa)		
I+Sg+Title	I+Sg	Singular, Inanimate	One (ôma word)	pîyak (ôma)		
I+Pl+Title	I+Pl	Plural, Inanimate	Many (ôma word)	mihcît (ôma)		
